id,number,nationwide_number,name,original_name,sex,year_of_birth,nationality,military_civilian,selection,year_of_selection,mission_number,total_number_of_missions,occupation,year_of_mission,mission_title,ascend_shuttle,in_orbit,descend_shuttle,hours_mission,total_hrs_sum,field21,eva_hrs_mission,total_eva_hrs
1,1,1,"gagarin, yuri",гагарин юрий алексеевич,male,1934,u.s.s.r/russia,military,tspk-1,1960,1,1,pilot,1961,vostok 1,vostok 1,vostok 2,vostok 3,1.77,1.77,0,0,0
2,2,2,"titov, gherman",титов герман степанович,male,1935,u.s.s.r/russia,military,tspk-1,1960,1,1,pilot,1961,vostok 2,vostok 2,vostok 2,vostok 2,25,25.3,0,0,0
3,3,1,"glenn, john h., jr.","glenn, john h., jr.",male,1921,u.s.,military,nasa astronaut group 1,1959,1,2,pilot,1962,ma-6,ma-6,ma-6,ma-6,5,218,0,0,0
4,3,1,"glenn, john h., jr.","glenn, john h., jr.",male,1921,u.s.,military,nasa astronaut group 2,1959,2,2,psp,1998,sts-95,sts-95,sts-95,sts-95,213,218,0,0,0
5,4,2,"carpenter, m. scott","carpenter, m. scott",male,1925,u.s.,military,nasa- 1,1959,1,1,pilot,1962,mercury-atlas 7,mercury-atlas 7,mercury-atlas 7,mercury-atlas 7,5,5,0,0,0
6,5,2,"nikolayev, andriyan",николаев андриян григорьевич,male,1929,u.s.s.r/russia,military,tspk-1,1960,1,2,pilot,1962,vostok 3,vostok 3,vostok 3,vostok 3,94,519.33,0,0,0
7,5,2,"nikolayev, andriyan",николаев андриян григорьевич,male,1929,u.s.s.r/russia,military,tspk-2,1960,2,2,pilot,1970,soyuz 9,soyuz 9,soyuz 9,soyuz 9,424,519.33,0,0,0
8,6,4,"popovich, pavel",попович павел романович,male,1930,u.s.s.r/russia,military,tspk-1,1960,1,2,pilot,1962,vostok 4,vostok 4,vostok 4,vostok 4,70.93,448.45,0,0,0
9,6,4,"popovich, pavel",попович павел романович,male,1930,u.s.s.r/russia,military,tspk-2,1960,2,2,commander,1974,soyuz 14,soyuz 14,soyuz 14,soyuz 14,377,448.45,0,0,0
10,7,3,"schirra, walter m., jr.","schirra, walter m., jr.",male,1923,u.s.,military,1959 nasa group 1,1959,1,3,pilot,1962,mercury-atlas 8,mercury-atlas 8,mercury-atlas 8,mercury-atlas 8,9.22,295.2,0,0,0
11,7,3,"schirra, walter m., jr.","schirra, walter m., jr.",male,1923,u.s.,military,1960 nasa group 1,1959,2,3,commander,1965,gemini 6a,gemini 6a,gemini 6a,gemini 6a,25.87,295.2,0,0,0
12,7,3,"schirra, walter m., jr.","schirra, walter m., jr.",male,1923,u.s.,military,1961 nasa group 1,1959,3,3,commander,1968,apollo 7,apollo 7,apollo 7,apollo 7,260.13,295.2,0,0,0
13,8,4,"cooper, l. gordon, jr.","cooper, l. gordon, jr.",male,1927,u.s.,military,nasa- 1,1959,1,2,pilot,1963,mercury-atlas 9,mercury-atlas 9,mercury-atlas 9,mercury-atlas 9,34.32,225,0,0,0
